"Worksheets Name","Activity Order","LEVEL","Multiple Choice","PDF LINK","Tutor Activity Level","Welsh","PDF EMBED","PDF Link","Activity Month","Activity Score Profile","Text Formula","PDFLink","LOW Score","MID Score","HIGH Score","Record ID"
"Questify","17","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Questify%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Questify%28editable%29.pdf","January","Low-Mid","EF17","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Questify%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96cb3"
"Success Leaves Clues","18","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Success leaves Clues.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Success%20leaves%20Clues.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Success%20leaves%20Clues.pdf","December","Low","VI218","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Success%20leaves%20Clues.pdf","Yes","","","6085156045797e001d577f00"
"2-4-8 Rule","18","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S4-2-4-8 Rule.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S4-2-4-8%20Rule.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S4-2-4-8%20Rule.pdf","December","Mid","SY318","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S4-2-4-8%20Rule.pdf","","Yes","","6085171945797e001d57802a"
"S4-Y Rheol 2–4–8","18","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S4-Y%20Rheol%202%E2%80%934%E2%80%938.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S4-Y%20Rheol%202%E2%80%934%E2%80%938.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S4-Y%20Rheol%202%E2%80%934%E2%80%938.pdf","December","Mid","SY318","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S4-Y%20Rheol%202%E2%80%934%E2%80%938.pdf","","Yes","","645d538ee06f930b58f988a2"
"High & Low Utility","18","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20High%20and%20Low%20Utility%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20High%20and%20Low%20Utility%28editable%29.pdf","January","Low-Mid","PR18","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20High%20and%20Low%20Utility%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96cbd"
"Five Roads","19","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Five Roads.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Five%20Roads.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Five%20Roads.pdf","January","Mid","VI219","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Five%20Roads.pdf","","Yes","","6085159b45f2a3001b7bc2c9"
"Failing Forwards","19","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A5-Falling Forwards.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A5-Falling%20Forwards.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A5-Falling%20Forwards.pdf","December","Low-Mid","AT319","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A5-Falling%20Forwards.pdf","Yes","Yes","","6089d7ad01b7fe001c42be47"
"A5-Symud Ymlaen ar ôl Methu","19","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A5-Symud%20Ymlaen%20ar%20%C3%B4l%20Methu.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A5-Symud%20Ymlaen%20ar%20%C3%B4l%20Methu.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A5-Symud%20Ymlaen%20ar%20%C3%B4l%20Methu.pdf","December","Low-Mid","AT319","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A5-Symud%20Ymlaen%20ar%20%C3%B4l%20Methu.pdf","Yes","Yes","","645d539ee06f930b58f988fa"
"Catch-Up Week","19","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Catch%20Up%20Week%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Catch%20Up%20Week%28editable%29.pdf","January","Mid-High","SY19","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Catch%20Up%20Week%28editable%29.pdf","","Yes","Yes","670fd72a7a774b02cea96cc7"
"Ten Year Grid","20","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - 10 Year Grid.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%2010%20Year%20Grid.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%2010%20Year%20Grid.pdf","January","Low-Mid","VI220","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%2010%20Year%20Grid.pdf","Yes","Yes","","608515bd45797e001d577f34"
"10min Rule","20","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E6 - 10Min Rule.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E6%20-%2010Min%20Rule.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E6%20-%2010Min%20Rule.pdf","December","Low","EF320","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E6%20-%2010Min%20Rule.pdf","Yes","","","6089d865e5a029001ce1733f"
"E6-Y Rheol Deng Munud","20","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E6-Y%20Rheol%20Deng%20Munud.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E6-Y%20Rheol%20Deng%20Munud.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E6-Y%20Rheol%20Deng%20Munud.pdf","December","Low","EF320","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E6-Y%20Rheol%20Deng%20Munud.pdf","Yes","","","645d5371e06f930b58f9880a"
"Outcome Control","20","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Outcome%20Control%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Outcome%20Control%28editable%29.pdf","January","Mid-High","VI20","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Outcome%20Control%28editable%29.pdf","","Yes","Yes","670fd72a7a774b02cea96cd1"
"Force Field Analysis","21","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A1-Force Field.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A1-Force%20Field.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A1-Force%20Field.pdf","January","Mid","AT321","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A1-Force%20Field.pdf","","Yes","","6089d67784c72d001fd2d247"
"The Battery","21","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - The Battery.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20The%20Battery.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20The%20Battery.pdf","September","Mid-High","AT221","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20The%20Battery.pdf","","Yes","Yes","6089d79084c72d001fd2d323"
"A1-Dadansoddiad Meysydd Grym","21","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A1-Dadansoddiad%20Meysydd%20Grym.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A1-Dadansoddiad%20Meysydd%20Grym.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A1-Dadansoddiad%20Meysydd%20Grym.pdf","January","Mid","AT321","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A1-Dadansoddiad%20Meysydd%20Grym.pdf","","Yes","","645d5399e06f930b58f988dd"
"5,5,5","21","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%205%2C5%2C5.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%205%2C5%2C5.pdf","February","Low-Mid","AT21","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%205%2C5%2C5.pdf","Yes","Yes","","670fd72a7a774b02cea96c77"
"Perfect Day","22","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V5 - Perfect Day.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V5%20-%20Perfect%20Day.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V5%20-%20Perfect%20Day.pdf","January","Low-Mid","VI322","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V5%20-%20Perfect%20Day.pdf","Yes","Yes","","6085144b099247001c9b3b13"
"The Bottom Left","22","2","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS - The Bottom Left.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20The%20Bottom%20Left.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20The%20Bottom%20Left.pdf","January","Low","SY222","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20The%20Bottom%20Left.pdf","Yes","","","6085185963e5b0001cf79f15"
"V5-Y Diwrnod Perffaith","22","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V5-Y%20Diwrnod%20Perffaith.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHOF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V5-Y%20Diwrnod%20Perffaith.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V5-Y%20Diwrnod%20Perffaith.pdf","December","Low-Mid","VI322","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V5-Y%20Diwrnod%20Perffaith.pdf","Yes","Yes","","645d53aae06f930b58f98937"
"Activating vs Sustaining","22","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Activating%20%26%20Sustaining%28Editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Activating%20%26%20Sustaining%28Editable%29.pdf","February","Mid-High","EF22","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Activating%20%26%20Sustaining%28Editable%29.pdf","","Yes","Yes","670fd72a7a774b02cea96c81"
"Managing Reactions to Feedback","23","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - Managing Reactions.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Managing%20Reactions.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Managing%20Reactions.pdf","December","Mid","AT223","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Managing%20Reactions.pdf","","Yes","","6089d6e301b7fe001c42bdb0"
"Right, Wrong, Right","23","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P6-Right,Wrong,Right.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P6-Right%2CWrong%2CRight.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P6-Right%2CWrong%2CRight.pdf","January","Mid-High","PR323","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P6-Right%2CWrong%2CRight.pdf","","Yes","Yes","608ae7a9bbfb9c001c32ad62"
"P6-Cywir, Anghywir, Cywir","23","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P6-Cywir%2C%20Anghywir%2C%20Cywir.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P6-Cywir%2C%20Anghywir%2C%20Cywir.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P6-Cywir%2C%20Anghywir%2C%20Cywir.pdf","January","Mid-High","PR323","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P6-Cywir%2C%20Anghywir%2C%20Cywir.pdf","","Yes","Yes","645d5384e06f930b58f98862"
"Closed Book Notetaking","23","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Closed%20Book%20Notetaking%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Closed%20Book%20Notetaking%28editable%29.pdf","February","Mid-High","PR23","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Closed%20Book%20Notetaking%28editable%29.pdf","","Yes","Yes","670fd72a7a774b02cea96c8b"
"Smart Goals","24","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V6 - SMART Goals.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V6%20-%20SMART%20Goals.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V6%20-%20SMART%20Goals.pdf","January","Mid-High","VI324","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V6%20-%20SMART%20Goals.pdf","","Yes","Yes","6085147363e5b0001cf79c7e"
"The Effort Thermometer","24","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - Effort Thermometer.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Effort%20Thermometer.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Effort%20Thermometer.pdf","November","All","EF224","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Effort%20Thermometer.pdf","","","","608ae45c2f9977001e55652e"
"V6-Nodau CAMPUS","24","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V6-Nodau%20CAMPUS.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V6-Nodau%20CAMPUS.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V6-Nodau%20CAMPUS.pdf","January","Mid-High","VI324","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V6-Nodau%20CAMPUS.pdf","","Yes","Yes","645d53afe06f930b58f9893d"
"1% Planning","24","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%201%25%20Planning%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%201%25%20Planning%28editable%29.pdf","February","Low-Mid","SY24","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%201%25%20Planning%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96c95"
"STQR","25","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S5-STQR.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S5-STQR.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S5-STQR.pdf","January","Mid-High","SY325","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S5-STQR.pdf","","Yes","Yes","6085174b45797e001d578051"
"Packing my Bags","25","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - Packing Bags.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Packing%20Bags.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Packing%20Bags.pdf","January","Mid-High","EF225","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Packing%20Bags.pdf","","Yes","Yes","608ae540b14061001beab02b"
"S5-CAAA","25","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S5-CAAA.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S5-CAAA.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S5-CAAA.pdf","January","Mid-High","SY325","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S5-CAAA.pdf","","Yes","Yes","645d538ee06f930b58f988ae"
"Paths are Well Lit","25","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Paths%20are%20well%20lit%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Paths%20are%20well%20lit%28editable%29.pdf","February","Low-Mid","VI25","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Paths%20are%20well%20lit%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96c9f"
